Semana,Suicídio: (Japão),Suicídio: (Brasil),Suicídio: (Estados Unidos)
2020-01-05,26,11,13
2020-01-12,16,10,15
2020-01-19,13,14,16
2020-01-26,16,12,15
2020-02-02,16,11,15
2020-02-09,14,10,15
2020-02-16,22,11,17
2020-02-23,14,10,15
2020-03-01,13,24,15
2020-03-08,14,12,14
2020-03-15,16,9,11
2020-03-22,15,10,12
2020-03-29,13,11,13
2020-04-05,14,10,14
2020-04-12,13,9,13
2020-04-19,15,9,13
2020-04-26,16,9,17
2020-05-03,20,34,13
2020-05-10,17,13,14
2020-05-17,30,10,14
2020-05-24,35,11,13
2020-05-31,16,9,15
2020-06-07,23,10,12
2020-06-14,19,9,16
2020-06-21,17,9,14
2020-06-28,16,9,15
2020-07-05,16,8,14
2020-07-12,77,10,15
2020-07-19,64,9,14
2020-07-26,30,8,14
2020-08-02,24,8,13
2020-08-09,22,8,12
2020-08-16,23,9,12
2020-08-23,24,8,13
2020-08-30,20,18,15
2020-09-06,21,19,30
2020-09-13,33,17,15
2020-09-20,34,14,14
2020-09-27,100,13,14
2020-10-04,26,10,13
2020-10-11,24,9,13
2020-10-18,31,9,13
2020-10-25,22,11,12
2020-11-01,17,10,10
2020-11-08,22,13,12
2020-11-15,23,10,14
2020-11-22,20,9,12
2020-11-29,19,8,13
2020-12-06,19,9,13
2020-12-13,18,7,12
2020-12-20,17,8,12
2020-12-27,14,9,12
